id;monthly_import_shipment;monthly_export_shipment;shipment_value;product_info
1;Multi-channelled Licensed;grey Cambridgeshire;Canyon HDD;Table Small Frozen Sausages Planner
2;envisioneer Music Public-key;infomediaries;Investment Account;Games Regional Digitized
3;copy convergence;Mayotte;Industrial;connect Markets Chief
4;capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;compelling mission-critical
5;bifurcated scalable;Small;deliverables reinvent 24 hour;overriding
6;monitor 1080p Checking Account;world-class Frozen IB;Highway Ergonomic;moratorium moratorium
7;New York tangible Mississippi;Frozen bus;hard drive Robust Networked;Poland
8;Small partnerships;Outdoors;Harbor Montana;Corporate Phased relationships
9;white Brand Money Market Account;Salad Web virtual;Refined Squares;maroon
10;EXE projection Fresh;support Gorgeous;withdrawal;copying
